Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
16-09-2023,24.8,35.4,29.3,75,,8.2,7,20,2,NE
17-09-2023,25,35.2,29.4,76,,7.7,4,20,2,N 
18-09-2023,25.9,35.4,29.9,76,8888,6,4,30,2,N 
19-09-2023,26.4,33.8,28.5,83,,7.5,3,280,1,W 
20-09-2023,23.8,34.6,28.8,78,28.9,0.9,5,30,2,NE
21-09-2023,25.1,34.7,29.2,76,,6.6,4,340,2,E 
22-09-2023,24.2,35.4,28.9,76,1.5,7.5,4,20,2,S 
23-09-2023,24.2,33.4,28,75,,10.5,3,30,2,NE
24-09-2023,24.4,35,29.2,76,,2.8,4,310,1,NW
25-09-2023,24.6,37,29.9,72,,6.4,6,350,2,N 
26-09-2023,24.6,36,29.7,70,,9.5,5,20,2,NE
27-09-2023,24.2,36.2,29.4,65,,9.2,5,40,3,E 
28-09-2023,24.2,36.4,29.7,65,,10,6,60,3,E 
29-09-2023,24.4,37.5,30.3,66,,9.9,8,60,3,E 
30-09-2023,24.8,35.4,29,76,,10,5,330,2,N 
01-10-2023,25,34,29.1,76,,9.6,4,20,2,N 
